100D, 5, 2365, 473
None
101M, 3, 12340, 4113
102D, 3, 2341, 780
102L, 5, 17409, 3481
102M, 3, 16364, 5454
103L, 5, 16118, 3223
103M, 3, 12152, 4050
104L, 5, 11671, 2334
104M, 2, 12792, 6396
105M, 2, 6906, 3453
106M, 3, 13046, 4348
107L, 5, 15499, 3099
107M, 3, 10936, 3645
108L, 5, 18406, 3681
108M, 3, 4900, 1633
109D, 4, 4117, 1029
109L, 5, 16118, 3223
109M, 3, 14265, 4755
10GS, 6, 22104, 3684
None
110D, 3, 1203, 401
110L, 5, 19486, 3897
110M, 3, 16422, 5474
None
111L, 5, 17913, 3582
111M, 3, 15278, 5092
None
112L, 5, 15987, 3197
112M, 3, 6769, 2256
None
113L, 5, 16390, 3278
None
114L, 5, 18189, 3637
None
115L, 5, 17846, 3569
116D, 4, 1201, 300
117D, 4, 1146, 286
117E, 3, 36337, 12112
118D, 3, 2541, 847
118L, 5, 18037, 3607
119D, 3, 2162, 720
119L, 5, 17132, 3426
None
None
None
11GS, 7, 17511, 2501
120L, 5, 14542, 2908
None
None
None
122L, 5, 18000, 3600
None
123L, 5, 16810, 3362
125L, 5, 15533, 3106
126D, 3, 4334, 1444
126L, 5, 17949, 3589
None
127L, 5, 15826, 3165
None
128L, 5, 15649, 3129
None
129L, 5, 17823, 3564
None
None
12E8, 16, 60962, 3810
12GS, 7, 25527, 3646
None
130L, 5, 20815, 4163
None
131L, 5, 20506, 4101
None
133D, 3, 1720, 573
133L, 10, 8525, 852
134L, 10, 7437, 743
135L, 10, 22132, 2213
137D, 5, 5446, 1089
137L, 5, 20440, 4088
138D, 5, 2298, 459
138L, 6, 20140, 3356
139L, 7, 19724, 2817
13GS, 7, 33654, 4807
None
140L, 6, 11620, 1936
141L, 6, 14094, 2349
142L, 5, 15681, 3136
143L, 6, 14593, 2432
None
144L, 6, 12527, 2087
145D, 8, 6956, 869
145L, 6, 15280, 2546
146L, 7, 17453, 2493
147L, 6, 16320, 2720
148L, 5, 13804, 2760
149L, 7, 6568, 938
14GS, 7, 10287, 1469
150D, 3, 3064, 1021
150L, 6, 33179, 5529
None
151L, 7, 8970, 1281
None
152L, 11, 7804, 709
None
153L, 7, 19520, 2788
None
154L, 7, 19760, 2822
155C, 6, 2994, 499
155L, 5, 19640, 3928
156L, 5, 17637, 3527
157D, 3, 3860, 1286
157L, 4, 15172, 3793
158D, 3, 4165, 1388
158L, 5, 15043, 3008
159D, 4, 2278, 569
159L, 5, 17193, 3438
15C8, 14, 19689, 1406
160D, 5, 6023, 1204
160L, 4, 17016, 4254
161D, 5, 2753, 550
161L, 5, 18210, 3642
162L, 5, 16727, 3345
163L, 5, 17919, 3583
164L, 5, 17832, 3566
None
165L, 5, 14746, 2949
166D, 4, 3441, 860
166L, 5, 17087, 3417
None
167L, 9, 12991, 1443
None
168L, 7, 22098, 3156
169L, 7, 15340, 2191
16GS, 7, 34299, 4899
None
None
170L, 6, 7407, 1234
171L, 5, 5383, 1076
None
172L, 8, 10517, 1314
None
173L, 7, 18998, 2714
174L, 5, 17174, 3434
175L, 5, 19401, 3880
176L, 5, 10300, 2060
177L, 7, 7773, 1110
178D, 3, 1962, 654
178L, 7, 6584, 940
17GS, 7, 31932, 4561
None
180L, 5, 28840, 5768
None
181L, 5, 14844, 2968
182D, 1, 4775, 4775
182L, 5, 17951, 3590
None
183L, 5, 13459, 2691
184D, 2, 1605, 802
184L, 5, 17956, 3591
185L, 5, 16711, 3342
186L, 5, 19403, 3880
None
187L, 5, 17930, 3586
None
188L, 5, 14035, 2807
None
189L, 7, 6258, 894
18GS, 7, 35928, 5132
None
190L, 7, 14418, 2059
1914, 15, 7811, 520
